"","Indnum","Group","Activity","Activity_Num","QL_cleaned","Consumption","cf_rate","carbon_footprint"
"30",2,1,"Use of heat pump",3,55,0,0.001074,0
"31",2,1,"Use of air conditioner",4,57,15,0.000598,0.00897
"32",2,2,"shower - short",5,85,7,0.0001055,0.0007385
"33",2,2,"shower - long (> 3 min)",6,74,13,0.0001645,0.0021385
"34",2,2,"bath",7,15,0,0.000228,0
"35",2,2,"wash-up",8,34,44,2.95e-05,0.001298
"36",2,3,"use of dishwasher",9,20,0,0.000246,0
"37",2,3,"use of clothes washer",10,35,8,0.0003005,0.002404
"38",2,3,"use of clothes dryer",11,13,4,0.000122,0.000488
"39",2,3,"use of cooking range",12,41.55,0,0.000135,0
"40",2,3,"use of  oven",13,37,8,0.00015,0.0012
"41",2,3,"use of self-clean feature of electric oven",14,16,3,0.000178,0.000534
"42",2,3,"Small kitchen appliance in the home",15,41.55,0,4.75e-05,0
"43",2,4,"TV/computer use",16,26,63,2e-06,0.000126
"44",2,5,"air travel - large plane",17,47,2524,0.000179,0.451796
"45",2,5,"air travel - small  plane (<50 seats)",18,27.3877551020408,0,0.000408,0
"46",2,5,"car trips- self only",19,43,273,0.000551,0.150423
"47",2,5,"car trips - driver and self",20,30,19,0.000554,0.010526
"48",2,5,"car trips - 2+ people with multiple end points",21,41.55,17,0.000354,0.006018
"49",2,5,"trips using public ground transportation",22,43,12,0.000276,0.003312
"50",2,6,"bags of garbage disposed",23,49,17,0.0419,0.7123
"51",2,6,"bags of recycling deposited (negative CF)",24,9.13513513513514,0,-0.0419,0
"52",2,6,"bags of compost deposited (negative CF)",25,10.6111111111111,0,-0.0419,0
"53",2,6,"hazardous or electric items disposed",26,41.55,0,0.0211,0
"54",2,6,"large items disposed",27,14,0,0.0211,0
"55",3,1,"Household heating => 70F",1,64,3,0.000436,0.001308
"56",3,1,"Household heating < 70F",2,75,1,0.000872,0.000872
"57",3,1,"Use of heat pump",3,42,0,0.001074,0
"58",3,1,"Use of air conditioner",4,52,16,0.000598,0.009568
"59",3,2,"shower - short",5,95,7,0.00013625,0.00095375
"60",3,2,"shower - long (> 3 min)",6,85,40,0.000208,0.00832
"61",3,2,"bath",7,19,0,0.0002805,0
"62",3,2,"wash-up",8,27,45,4.2e-05,0.00189
"63",3,3,"use of dishwasher",9,25,0,0.00030275,0
"64",3,3,"use of clothes washer",10,44,5,0.00035475,0.00177375
"65",3,3,"use of clothes dryer",11,12,3,0.000122,0.000366
"66",3,3,"use of cooking range",12,42.85,0,0.000135,0
"67",3,3,"use of  oven",13,37,10,0.00015,0.0015
"68",3,3,"use of self-clean feature of electric oven",14,19,4,0.000178,0.000712
"69",3,3,"Small kitchen appliance in the home",15,42.85,0,4.75e-05,0
"70",3,4,"TV/computer use",16,27,64,2e-06,0.000128
"71",3,5,"air travel - large plane",17,42,2653,0.000179,0.474887
"72",3,5,"air travel - small  plane (<50 seats)",18,27.3877551020408,0,0.000408,0
"73",3,5,"car trips- self only",19,60,260,0.000551,0.14326
"74",3,5,"car trips - driver and self",20,19,35,0.000554,0.01939
"75",3,5,"car trips - 2+ people with multiple end points",21,42.85,23,0.000354,0.008142
"76",3,5,"trips using public ground transportation",22,44,13,0.000276,0.003588
"77",3,6,"bags of garbage disposed",23,49,22,0.0419,0.9218
"78",3,6,"bags of recycling deposited (negative CF)",24,9.13513513513514,0,-0.0419,0
"79",3,6,"bags of compost deposited (negative CF)",25,10.6111111111111,0,-0.0419,0
"80",3,6,"hazardous or electric items disposed",26,42.85,0,0.0211,0
"81",3,6,"large items disposed",27,20,0,0.0211,0
"82",4,1,"Household heating => 70F",1,93,10,0.000436,0.00436
"83",4,1,"Household heating < 70F",2,73,4,0.000872,0.003488
"84",4,1,"Use of heat pump",3,48,0,0.001074,0
"85",4,1,"Use of air conditioner",4,47,18,0.000598,0.010764
"86",4,2,"shower - short",5,90,5,0.0001505,0.0007525
"87",4,2,"shower - long (> 3 min)",6,84,12,0.0002305,0.002766
"88",4,2,"bath",7,20,0,0.000311,0
"89",4,2,"wash-up",8,36,35,4.85e-05,0.0016975
"90",4,3,"use of dishwasher",9,25,0,0.000316,0
"91",4,3,"use of clothes washer",10,41,6,0.0003835,0.002301
"92",4,3,"use of clothes dryer",11,14,2,0.000122,0.000244
"93",4,3,"use of cooking range",12,43.85,0,0.000135,0
"94",4,3,"use of  oven",13,33,11,0.00015,0.00165
"95",4,3,"use of self-clean feature of electric oven",14,18,3,0.000178,0.000534
"96",4,3,"Small kitchen appliance in the home",15,43.85,0,4.75e-05,0
"97",4,4,"TV/computer use",16,25,59,2e-06,0.000118
"98",4,5,"air travel - large plane",17,44,3419,0.000179,0.612001
"99",4,5,"air travel - small  plane (<50 seats)",18,27.3877551020408,0,0.000408,0
"100",4,5,"car trips- self only",19,58,336,0.000551,0.185136
"101",4,5,"car trips - driver and self",20,28,28,0.000554,0.015512
"102",4,5,"car trips - 2+ people with multiple end points",21,43.85,0,0.000354,0
"103",4,5,"trips using public ground transportation",22,42,12,0.000276,0.003312
"104",4,6,"bags of garbage disposed",23,41,27,0.0419,1.1313
"105",4,6,"bags of recycling deposited (negative CF)",24,9.13513513513514,0,-0.0419,0
"106",4,6,"bags of compost deposited (negative CF)",25,10.6111111111111,0,-0.0419,0
"107",4,6,"hazardous or electric items disposed",26,43.85,0,0.0211,0
"108",4,6,"large items disposed",27,17,0,0.0211,0
"109",5,1,"Household heating => 70F",1,80,8,0.000436,0.003488
"110",5,1,"Household heating < 70F",2,77,10,0.000872,0.00872
"111",5,1,"Use of heat pump",3,43,0,0.001074,0
"112",5,1,"Use of air conditioner",4,53,14,0.000598,0.008372
"113",5,2,"shower - short",5,84,7,0.000115333333333333,0.000807333333333333
"114",5,2,"shower - long (> 3 min)",6,72,10,0.000173333333333333,0.00173333333333333
"115",5,2,"bath",7,10,0,0.000251333333333333,0
"116",5,2,"wash-up",8,28,45,3.76666666666667e-05,0.001695
"117",5,3,"use of dishwasher",9,20,0,0.00028,0
"118",5,3,"use of clothes washer",10,41,7,0.000323666666666667,0.00226566666666667
"119",5,3,"use of clothes dryer",11,21,1,0.000132,0.000132
"120",5,3,"use of cooking range",12,41.7,0,0.000142,0
"121",5,3,"use of  oven",13,32,12,0.000162,0.001944
"122",5,3,"use of self-clean feature of electric oven",14,16,2,0.000199,0.000398
"123",5,3,"Small kitchen appliance in the home",15,41.7,0,4.75e-05,0
"124",5,4,"TV/computer use",16,29,64,2e-06,0.000128
"125",5,5,"air travel - large plane",17,46,3113,0.000179,0.557227
"126",5,5,"air travel - small  plane (<50 seats)",18,27.3877551020408,0,0.000408,0
"127",5,5,"car trips- self only",19,50,388,0.000551,0.213788
"128",5,5,"car trips - driver and self",20,27,15,0.000554,0.00831
"129",5,5,"car trips - 2+ people with multiple end points",21,41.7,15,0.000354,0.00531
"130",5,5,"trips using public ground transportation",22,45,19,0.000276,0.005244
"131",5,6,"bags of garbage disposed",23,48,17,0.0419,0.7123
"132",5,6,"bags of recycling deposited (negative CF)",24,9.13513513513514,0,-0.0419,0
"133",5,6,"bags of compost deposited (negative CF)",25,10.6111111111111,0,-0.0419,0
"134",5,6,"hazardous or electric items disposed",26,41.7,0,0.0211,0
"135",5,6,"large items disposed",27,12,2,0.0211,0.0422
"136",6,1,"Household heating => 70F",1,63,6,0.000436,0.002616
"137",6,1,"Household heating < 70F",2,75,3,0.000872,0.002616
"138",6,1,"Use of heat pump",3,52,0,0.001074,0
"139",6,1,"Use of air conditioner",4,44,14,0.000598,0.008372
"140",6,2,"shower - short",5,97,8,0.0001055,0.000844
"141",6,2,"shower - long (> 3 min)",6,80,26,0.0001645,0.004277
"142",6,2,"bath",7,18,0,0.000228,0
"143",6,2,"wash-up",8,35,32,2.95e-05,0.000944
"144",6,3,"use of dishwasher",9,22,10,0.000249,0.00249
"145",6,3,"use of clothes washer",10,31,4,0.000305,0.00122
"146",6,3,"use of clothes dryer",11,20,2,0.000127,0.000254
"147",6,3,"use of cooking range",12,42.65,0,0.0001385,0
"148",6,3,"use of  oven",13,33,11,0.000156,0.001716
"149",6,3,"use of self-clean feature of electric oven",14,12,3,0.0001885,0.0005655
"150",6,3,"Small kitchen appliance in the home",15,42.65,59,4.75e-05,0.0028025
"151",6,4,"TV/computer use",16,30,59,2e-06,0.000118
"152",6,5,"air travel - large plane",17,47,2021,0.000179,0.361759
"153",6,5,"air travel - small  plane (<50 seats)",18,27.3877551020408,0,0.000408,0
"154",6,5,"car trips- self only",19,45,267,0.000551,0.147117
"155",6,5,"car trips - driver and self",20,34,21,0.000554,0.011634
"156",6,5,"car trips - 2+ people with multiple end points",21,42.65,0,0.000354,0
"157",6,5,"trips using public ground transportation",22,51,14,0.000276,0.003864
"158",6,6,"bags of garbage disposed",23,47,22,0.0419,0.9218
"159",6,6,"bags of recycling deposited (negative CF)",24,9.13513513513514,0,-0.0419,0
"160",6,6,"bags of compost deposited (negative CF)",25,10.6111111111111,0,-0.0419,0
"161",6,6,"hazardous or electric items disposed",26,42.65,0,0.0211,0
"162",6,6,"large items disposed",27,17,1,0.0211,0.0211
"163",7,1,"Household heating => 70F",1,85,5,0.000436,0.00218
"164",7,1,"Household heating < 70F",2,72,1,0.000872,0.000872
"165",7,1,"Use of heat pump",3,44,0,0.001074,0
"166",7,1,"Use of air conditioner",4,46,20,0.000598,0.01196
"167",7,2,"shower - short",5,86,3,0.000104333333333333,0.000313
"168",7,2,"shower - long (> 3 min)",6,80,23,0.000159333333333333,0.00366466666666667
"169",7,2,"bath",7,21,0,0.000236666666666667,0
"170",7,2,"wash-up",8,44,37,3.36666666666667e-05,0.00124566666666667
"171",7,3,"use of dishwasher",9,24,0,0.000245,0
"172",7,3,"use of clothes washer",10,38,5,0.000297666666666667,0.00148833333333333
"173",7,3,"use of clothes dryer",11,17,4,0.000122,0.000488
"174",7,3,"use of cooking range",12,43.65,16,0.000135,0.00216
"175",7,3,"use of  oven",13,38,9,0.00015,0.00135
"176",7,3,"use of self-clean feature of electric oven",14,17,1,0.000178,0.000178
"177",7,3,"Small kitchen appliance in the home",15,43.65,0,4.75e-05,0
"178",7,4,"TV/computer use",16,29,63,2e-06,0.000126
"179",7,5,"air travel - large plane",17,45,3016,0.000179,0.539864
"180",7,5,"air travel - small  plane (<50 seats)",18,27.3877551020408,0,0.000408,0
"181",7,5,"car trips- self only",19,57,288,0.000551,0.158688
"182",7,5,"car trips - driver and self",20,22,39,0.000554,0.021606
"183",7,5,"car trips - 2+ people with multiple end points",21,43.65,11,0.000354,0.003894
"184",7,5,"trips using public ground transportation",22,48,12,0.000276,0.003312
"185",7,6,"bags of garbage disposed",23,41,18,0.0419,0.7542
"186",7,6,"bags of recycling deposited (negative CF)",24,9.13513513513514,0,-0.0419,0
"187",7,6,"bags of compost deposited (negative CF)",25,10.6111111111111,0,-0.0419,0
"188",7,6,"hazardous or electric items disposed",26,43.65,0,0.0211,0
"189",7,6,"large items disposed",27,19,0,0.0211,0
"190",8,1,"Household heating => 70F",1,79,4,0.000436,0.001744
"191",8,1,"Household heating < 70F",2,71,6,0.000872,0.005232
"192",8,1,"Use of heat pump",3,40,0,0.001074,0
"193",8,1,"Use of air conditioner",4,52,15,0.000598,0.00897
"194",8,2,"shower - short",5,87,5,0.0002155,0.0010775
"195",8,2,"shower - long (> 3 min)",6,82,15,0.000333,0.004995
"196",8,2,"bath",7,10,0,0.00039,0
"197",8,2,"wash-up",8,32,49,6.1e-05,0.002989
"198",8,3,"use of dishwasher",9,20,0,0.0004325,0
"199",8,3,"use of clothes washer",10,29,5,0.0005005,0.0025025
"200",8,3,"use of clothes dryer",11,12,4,0.000122,0.000488
"201",8,3,"use of cooking range",12,42.25,0,0.000135,0
"202",8,3,"use of  oven",13,36,10,0.00015,0.0015
"203",8,3,"use of self-clean feature of electric oven",14,11,1,0.000178,0.000178
"204",8,3,"Small kitchen appliance in the home",15,42.25,0,4.75e-05,0
"205",8,4,"TV/computer use",16,28,60,2e-06,0.00012
"206",8,5,"air travel - large plane",17,46,2895,0.000179,0.518205
"207",8,5,"air travel - small  plane (<50 seats)",18,27.3877551020408,0,0.000408,0
"208",8,5,"car trips- self only",19,61,359,0.0004415,0.1584985
"209",8,5,"car trips - driver and self",20,39,38,0.0004455,0.016929
"210",8,5,"car trips - 2+ people with multiple end points",21,42.25,10,0.0002385,0.002385
"211",8,5,"trips using public ground transportation",22,44,14,0.000138,0.001932
"212",8,6,"bags of garbage disposed",23,49,20,0.0419,0.838
"213",8,6,"bags of recycling deposited (negative CF)",24,9.13513513513514,0,-0.0419,0
"214",8,6,"bags of compost deposited (negative CF)",25,10.6111111111111,0,-0.0419,0
"215",8,6,"hazardous or electric items disposed",26,42.25,0,0.0211,0
"216",8,6,"large items disposed",27,17,2,0.0211,0.0422
"217",9,1,"Household heating => 70F",1,61,4,0.000543,0.002172
"218",9,1,"Household heating < 70F",2,89,6,0.0008975,0.005385
"219",9,1,"Use of heat pump",3,55,0,0.0011515,0
"220",9,1,"Use of air conditioner",4,50,20,0.004289,0.08578
"221",9,2,"shower - short",5,95,2,0.0001055,0.000211
"222",9,2,"shower - long (> 3 min)",6,87,35,0.0001645,0.0057575
"223",9,2,"bath",7,17,0,0.000228,0
"224",9,2,"wash-up",8,32,52,2.95e-05,0.001534
"225",9,3,"use of dishwasher",9,22,0,0.000246,0
"226",9,3,"use of clothes washer",10,34,7,0.0003005,0.0021035
"227",9,3,"use of clothes dryer",11,12,2,0.000122,0.000244
"228",9,3,"use of cooking range",12,43.65,0,0.000135,0
"229",9,3,"use of  oven",13,39,8,0.00015,0.0012
"230",9,3,"use of self-clean feature of electric oven",14,19,4,0.000178,0.000712
"231",9,3,"Small kitchen appliance in the home",15,43.65,0,4.75e-05,0
"232",9,4,"TV/computer use",16,27,64,2e-06,0.000128
"233",9,5,"air travel - large plane",17,44,3406,0.000179,0.609674
"234",9,5,"air travel - small  plane (<50 seats)",18,27.3877551020408,0,0.000408,0
"235",9,5,"car trips- self only",19,44,311,0.0004415,0.1373065
"236",9,5,"car trips - driver and self",20,27,24,0.0004455,0.010692
"237",9,5,"car trips - 2+ people with multiple end points",21,43.65,20,0.0002385,0.00477
"238",9,5,"trips using public ground transportation",22,56,19,0.000138,0.002622
"239",9,6,"bags of garbage disposed",23,43,23,0.0419,0.9637
"240",9,6,"bags of recycling deposited (negative CF)",24,9.13513513513514,0,-0.0419,0
"241",9,6,"bags of compost deposited (negative CF)",25,10.6111111111111,0,-0.0419,0
"242",9,6,"hazardous or electric items disposed",26,43.65,0,0.0211,0
"243",9,6,"large items disposed",27,20,1,0.0211,0.0211
"244",10,1,"Household heating => 70F",1,67,6,0.000436,0.002616
"245",10,1,"Household heating < 70F",2,93,10,0.000872,0.00872
"246",10,1,"Use of heat pump",3,42,0,0.001074,0
"247",10,1,"Use of air conditioner",4,44,31,0.000598,0.018538
"248",10,2,"shower - short",5,91,4,0.00013625,0.000545
"249",10,2,"shower - long (> 3 min)",6,90,19,0.000208,0.003952
"250",10,2,"bath",7,21,0,0.0002805,0
"251",10,2,"wash-up",8,31,48,4.2e-05,0.002016
"252",10,3,"use of dishwasher",9,20,0,0.00030275,0
"253",10,3,"use of clothes washer",10,33,4,0.00035475,0.001419
"254",10,3,"use of clothes dryer",11,13,4,0.000122,0.000488
"255",10,3,"use of cooking range",12,43.1,0,0.000135,0
"256",10,3,"use of  oven",13,36,8,0.00015,0.0012
"257",10,3,"use of self-clean feature of electric oven",14,16,1,0.000178,0.000178
"258",10,3,"Small kitchen appliance in the home",15,43.1,0,4.75e-05,0
"259",10,4,"TV/computer use",16,26,58,2e-06,0.000116
"260",10,5,"air travel - large plane",17,48,2949,0.000179,0.527871
"261",10,5,"air travel - small  plane (<50 seats)",18,27.3877551020408,0,0.000408,0
"262",10,5,"car trips- self only",19,51,354,0.0004415,0.156291
"263",10,5,"car trips - driver and self",20,22,20,0.0004455,0.00891
"264",10,5,"car trips - 2+ people with multiple end points",21,43.1,0,0.0002385,0
"265",10,5,"trips using public ground transportation",22,53,14,0.000138,0.001932
"266",10,6,"bags of garbage disposed",23,49,28,0.0419,1.1732
"267",10,6,"bags of recycling deposited (negative CF)",24,9.13513513513514,0,-0.0419,0
"268",10,6,"bags of compost deposited (negative CF)",25,10.6111111111111,0,-0.0419,0
"269",10,6,"hazardous or electric items disposed",26,43.1,0,0.0211,0
"270",10,6,"large items disposed",27,16,0,0.0211,0
"271",11,1,"Household heating => 70F",1,78,8,0.000436,0.003488
"272",11,1,"Household heating < 70F",2,85,6,0.000872,0.005232
"273",11,1,"Use of heat pump",3,55,0,0.001074,0
"274",11,1,"Use of air conditioner",4,49,28,0.000598,0.016744
"275",11,2,"shower - short",5,98,2,0.0001055,0.000211
"276",11,2,"shower - long (> 3 min)",6,77,37,0.0001645,0.0060865
"277",11,2,"bath",7,20,0,0.000228,0
"278",11,2,"wash-up",8,31,40,2.95e-05,0.00118
"279",11,3,"use of dishwasher",9,19,0,0.000246,0
"280",11,3,"use of clothes washer",10,36,2,0.0003005,0.000601
"281",11,3,"use of clothes dryer",11,14,4,0.000122,0.000488
"282",11,3,"use of cooking range",12,44.65,0,0.000135,0
"283",11,3,"use of  oven",13,40,9,0.00015,0.00135
"284",11,3,"use of self-clean feature of electric oven",14,21,4,0.000178,0.000712
"285",11,3,"Small kitchen appliance in the home",15,44.65,0,4.75e-05,0
"286",11,4,"TV/computer use",16,30,64,2e-06,0.000128
"287",11,5,"air travel - large plane",17,49,2918,0.000179,0.522322
"288",11,5,"air travel - small  plane (<50 seats)",18,27.3877551020408,0,0.000408,0
"289",11,5,"car trips- self only",19,48,463,0.000551,0.255113
"290",11,5,"car trips - driver and self",20,40,16,0.000554,0.008864
"291",11,5,"car trips - 2+ people with multiple end points",21,44.65,12,0.000354,0.004248
"292",11,5,"trips using public ground transportation",22,45,12,0.000276,0.003312
"293",11,6,"bags of garbage disposed",23,41,25,0.0419,1.0475
"294",11,6,"bags of recycling deposited (negative CF)",24,9.13513513513514,0,-0.0419,0
"295",11,6,"bags of compost deposited (negative CF)",25,10.6111111111111,0,-0.0419,0
"296",11,6,"hazardous or electric items disposed",26,44.65,0,0.0211,0
"297",11,6,"large items disposed",27,17,0,0.0211,0
"298",12,1,"Household heating => 70F",1,84,3,0.000436,0.001308
"299",12,1,"Household heating < 70F",2,72,9,0.000872,0.007848
"300",12,1,"Use of heat pump",3,40,0,0.001074,0
"301",12,1,"Use of air conditioner",4,43,26,0.000598,0.015548
"302",12,2,"shower - short",5,98,6,0.00013625,0.0008175
"303",12,2,"shower - long (> 3 min)",6,76,20,0.000208,0.00416
"304",12,2,"bath",7,13,0,0.0002805,0
"305",12,2,"wash-up",8,33,49,4.2e-05,0.002058
"306",12,3,"use of dishwasher",9,23,0,0.00030275,0
"307",12,3,"use of clothes washer",10,28,8,0.00035475,0.002838
"308",12,3,"use of clothes dryer",11,18,2,0.000122,0.000244
"309",12,3,"use of cooking range",12,39.7142857142857,0,0.000135,0
"310",12,3,"use of  oven",13,36,10,0.00015,0.0015
"311",12,3,"use of self-clean feature of electric oven",14,15,2,0.000178,0.000356
"312",12,3,"Small kitchen appliance in the home",15,39.7142857142857,0,4.75e-05,0
"313",12,4,"TV/computer use",16,31,61,2e-06,0.000122
"314",12,5,"air travel - large plane",17,51,3084,0.000179,0.552036
"315",12,5,"air travel - small  plane (<50 seats)",18,27.3877551020408,0,0.000408,0
"316",12,5,"car trips- self only",19,50,430,0.000551,0.23693
"317",12,5,"car trips - driver and self",20,20,19,0.000554,0.010526
"318",12,5,"car trips - 2+ people with multiple end points",21,39.7142857142857,0,0.000354,0
"319",12,5,"trips using public ground transportation",22,44,12,0.000276,0.003312
"320",12,6,"bags of garbage disposed",23,43,21,0.0419,0.8799
"321",12,6,"bags of recycling deposited (negative CF)",24,9.13513513513514,0,-0.0419,0
"322",12,6,"bags of compost deposited (negative CF)",25,4,2,-0.0419,-0.0838
"323",12,6,"hazardous or electric items disposed",26,39.7142857142857,0,0.0211,0
"324",12,6,"large items disposed",27,12,0,0.0211,0
"325",13,1,"Household heating => 70F",1,80,1,0.000436,0.000436
"326",13,1,"Household heating < 70F",2,73,9,0.000872,0.007848
"327",13,1,"Use of heat pump",3,44,0,0.001074,0
"328",13,1,"Use of air conditioner",4,39,22,0.000598,0.013156
"329",13,2,"shower - short",5,86,2,0.000102,0.000204
"330",13,2,"shower - long (> 3 min)",6,81,11,0.000149,0.001639
"331",13,2,"bath",7,15,0,0.000254,0
"332",13,2,"wash-up",8,44,34,4.2e-05,0.001428
"333",13,3,"use of dishwasher",9,20,0,0.000243,0
"334",13,3,"use of clothes washer",10,47,4,0.000292,0.001168
"335",13,3,"use of clothes dryer",11,13,4,0.000122,0.000488
"336",13,3,"use of cooking range",12,42.3,0,0.000135,0
"337",13,3,"use of  oven",13,34,11,0.00015,0.00165
"338",13,3,"use of self-clean feature of electric oven",14,16,3,0.000178,0.000534
"339",13,3,"Small kitchen appliance in the home",15,42.3,0,4.75e-05,0
"340",13,4,"TV/computer use",16,29,63,2e-06,0.000126
"341",13,5,"air travel - large plane",17,42,3034,0.000179,0.543086
"342",13,5,"air travel - small  plane (<50 seats)",18,27.3877551020408,0,0.000408,0
"343",13,5,"car trips- self only",19,49,270,0.0004415,0.119205
"344",13,5,"car trips - driver and self",20,21,20,0.0004455,0.00891
"345",13,5,"car trips - 2+ people with multiple end points",21,42.3,0,0.0002385,0
"346",13,5,"trips using public ground transportation",22,43,14,0.000138,0.001932
"347",13,6,"bags of garbage disposed",23,50,17,0.0419,0.7123
"348",13,6,"bags of recycling deposited (negative CF)",24,9.13513513513514,0,-0.0419,0
"349",13,6,"bags of compost deposited (negative CF)",25,10.6111111111111,0,-0.0419,0
"350",13,6,"hazardous or electric items disposed",26,42.3,0,0.0211,0
"351",13,6,"large items disposed",27,20,2,0.0211,0.0422
"352",14,1,"Household heating => 70F",1,86,5,0.000436,0.00218
"353",14,1,"Household heating < 70F",2,61,5,0.000872,0.00436
"354",14,1,"Use of heat pump",3,47,0,0.001074,0
"355",14,1,"Use of air conditioner",4,39,22,0.000598,0.013156
"356",14,2,"shower - short",5,97,4,0.000104333333333333,0.000417333333333333
"357",14,2,"shower - long (> 3 min)",6,91,29,0.000159333333333333,0.00462066666666667
"358",14,2,"bath",7,21,0,0.000236666666666667,0
"359",14,2,"wash-up",8,38,34,3.36666666666667e-05,0.00114466666666667
"360",14,3,"use of dishwasher",9,24,0,0.000245,0
"361",14,3,"use of clothes washer",10,38,4,0.000297666666666667,0.00119066666666667
"362",14,3,"use of clothes dryer",11,11,1,0.000122,0.000122
"363",14,3,"use of cooking range",12,44.7,0,0.000135,0
"364",14,3,"use of  oven",13,32,12,0.00015,0.0018
"365",14,3,"use of self-clean feature of electric oven",14,19,1,0.000178,0.000178
"366",14,3,"Small kitchen appliance in the home",15,44.7,0,4.75e-05,0
"367",14,4,"TV/computer use",16,30,61,2e-06,0.000122
"368",14,5,"air travel - large plane",17,49,2447,0.000179,0.438013
"369",14,5,"air travel - small  plane (<50 seats)",18,27.3877551020408,0,0.000408,0
"370",14,5,"car trips- self only",19,60,449,0.000551,0.247399
"371",14,5,"car trips - driver and self",20,27,39,0.000554,0.021606
"372",14,5,"car trips - 2+ people with multiple end points",21,44.7,0,0.000354,0
"373",14,5,"trips using public ground transportation",22,61,16,0.000276,0.004416
"374",14,6,"bags of garbage disposed",23,48,23,0.0419,0.9637
"375",14,6,"bags of recycling deposited (negative CF)",24,9.13513513513514,0,-0.0419,0
"376",14,6,"bags of compost deposited (negative CF)",25,10.6111111111111,0,-0.0419,0
"377",14,6,"hazardous or electric items disposed",26,44.7,0,0.0211,0
"378",14,6,"large items disposed",27,15,1,0.0211,0.0211
"379",15,1,"Household heating => 70F",1,87,8,0.000436,0.003488
"380",15,1,"Household heating < 70F",2,73,4,0.000872,0.003488
"381",15,1,"Use of heat pump",3,50,0,0.001074,0
"382",15,1,"Use of air conditioner",4,52,31,0.000598,0.018538
"383",15,2,"shower - short",5,84,4,0.0001505,0.000602
"384",15,2,"shower - long (> 3 min)",6,72,28,0.0002305,0.006454
"385",15,2,"bath",7,12,0,0.000311,0
"386",15,2,"wash-up",8,25,53,4.85e-05,0.0025705
"387",15,3,"use of dishwasher",9,20,0,0.000316,0
"388",15,3,"use of clothes washer",10,46,2,0.0003835,0.000767
"389",15,3,"use of clothes dryer",11,19,4,0.000122,0.000488
"390",15,3,"use of cooking range",12,42.65,0,0.000135,0
"391",15,3,"use of  oven",13,31,9,0.00015,0.00135
"392",15,3,"use of self-clean feature of electric oven",14,18,2,0.000178,0.000356
"393",15,3,"Small kitchen appliance in the home",15,42.65,0,4.75e-05,0
"394",15,4,"TV/computer use",16,30,63,2e-06,0.000126
"395",15,5,"air travel - large plane",17,47,3180,0.000179,0.56922
"396",15,5,"air travel - small  plane (<50 seats)",18,27.3877551020408,0,0.000408,0
"397",15,5,"car trips- self only",19,59,282,0.0004415,0.124503
"398",15,5,"car trips - driver and self",20,20,11,0.0004455,0.0049005
"399",15,5,"car trips - 2+ people with multiple end points",21,42.65,0,0.0002385,0
"400",15,5,"trips using public ground transportation",22,44,15,0.000138,0.00207
"401",15,6,"bags of garbage disposed",23,49,26,0.0419,1.0894
"402",15,6,"bags of recycling deposited (negative CF)",24,9.13513513513514,0,-0.0419,0
"403",15,6,"bags of compost deposited (negative CF)",25,10.6111111111111,0,-0.0419,0
"404",15,6,"hazardous or electric items disposed",26,42.65,0,0.0211,0
"405",15,6,"large items disposed",27,15,0,0.0211,0
"406",16,1,"Household heating => 70F",1,62,5,0.000436,0.00218
"407",16,1,"Household heating < 70F",2,69,5,0.000872,0.00436
