"","Indnum","Com_1","Com_2","Com_3","Com_4","Com_5","Com_6","Com_7","Com_8","Com_9","Com_10","Com_11","Com_12","Com_13","Com_14","Com_15","Com_16","Com_17","Com_18","Com_19","Com_20","Com_21","Com_22","Com_23","Com_24","Com_25","Com_26","Com_27"
"18",18,14,5,0,87,42,12,4,19,0,4,1,0,16,2,0,61,3097,0,174,19,0,16,22,0,7,0,2
"19",19,5,2,0,9,44,19,0,22,0,1,2,0,11,1,68,58,3252,0,151,16,39,25,23,0,0,0,2
"20",20,2,1,0,7,52,19,3,26,0,1,1,0,15,1,69,64,3197,0,144,7,30,24,28,0,0,0,0
"21",21,7,1,0,54,38,19,0,18,0,4,2,0,13,2,0,62,4570,0,158,13,0,21,20,0,0,0,0
"22",22,9,4,0,12,27,7,0,17,0,3,1,0,15,2,0,63,4290,0,202,16,0,21,18,0,8,0,2
"23",23,5,3,0,57,31,6,0,21,0,3,2,0,13,2,0,58,3057,0,160,9,0,23,21,0,8,0,1
"24",24,3,1,0,16,49,19,0,26,16,3,2,0,13,2,0,60,4913,0,219,11,16,23,23,0,0,0,1
"25",25,6,5,0,14,43,13,0,25,0,3,2,0,15,2,0,61,2678,0,133,8,0,19,22,0,0,0,2
"26",26,8,4,0,12,35,11,0,21,0,4,1,0,15,1,0,60,2888,0,225,17,19,25,17,0,0,0,0
"27",27,7,2,0,8,31,13,0,17,0,1,1,0,16,1,0,59,3501,313,570,11,39,23,17,0,8,0,0
"28",28,8,5,0,8,33,6,3,18,0,4,2,0,16,1,0,61,4966,0,161,12,32,24,25,0,2,0,2
"29",29,8,4,0,11,40,17,2,18,0,1,3,0,15,1,0,61,2979,0,138,20,39,25,19,0,0,0,2
"30",30,7,2,0,10,32,5,0,25,0,3,1,0,16,1,0,58,3560,0,150,17,15,17,18,0,0,0,1
"31",31,1,4,0,13,30,5,0,20,0,4,2,0,6,2,0,60,4037,0,228,14,0,17,20,0,0,0,2
"32",32,11,4,0,81,39,16,0,22,0,11,2,0,4,2,0,58,4710,235,367,20,0,16,26,0,0,0,0
"33",33,13,5,0,15,42,19,0,21,0,1,2,0,12,1,0,58,4220,0,185,16,17,20,21,0,6,0,2
"34",34,13,3,0,14,32,11,0,17,0,4,1,0,15,1,0,58,4374,0,219,16,37,24,23,0,0,0,1
"35",35,8,3,0,12,32,6,0,22,0,2,4,10,15,2,71,62,2688,0,221,16,38,17,20,0,0,0,0
"36",36,5,4,0,15,40,20,1,18,0,3,2,0,11,1,68,61,2632,0,353,20,0,17,22,0,0,0,0
"37",37,9,1,0,7,50,19,0,26,0,4,1,0,12,1,0,64,4703,0,132,5,0,21,28,0,7,3,2
"38",38,9,4,0,75,41,10,0,28,0,1,1,0,16,2,0,63,4362,0,220,6,0,24,19,0,0,0,1
"39",39,13,4,0,66,46,20,0,26,0,2,2,0,11,1,0,59,4485,0,165,12,0,17,17,0,4,0,0
"40",40,7,5,0,14,48,15,0,27,0,2,1,0,12,1,0,62,4433,0,143,18,0,19,25,0,4,0,2
"41",41,11,5,0,8,36,13,0,19,0,4,2,0,13,1,0,62,4099,0,144,14,0,21,17,0,0,0,2
"42",42,14,5,0,11,34,15,0,17,0,2,1,0,15,2,0,63,3621,0,181,11,15,19,23,0,0,0,1
"43",43,3,1,0,14,43,15,0,27,0,2,2,0,13,2,0,63,4309,0,170,8,0,23,18,0,0,0,2
"44",44,6,2,0,12,28,7,0,19,17,2,2,0,12,2,65,63,3913,0,150,20,0,20,23,0,0,0,2
"45",45,11,2,0,14,38,7,0,27,0,4,2,0,12,2,0,61,4007,0,143,12,0,19,28,0,0,0,2
"46",46,11,5,0,39,39,7,0,27,0,8,1,0,6,1,0,58,4478,0,180,5,0,19,20,0,0,0,0
"47",47,10,1,0,12,47,20,3,17,0,4,1,0,11,2,0,63,2675,0,226,13,25,24,17,0,0,2,0
"48",48,11,3,0,45,44,20,0,21,0,2,2,0,12,1,0,60,4184,0,174,13,0,23,26,0,0,0,1
"49",49,7,3,0,16,39,10,0,22,0,3,2,0,16,2,0,64,3258,0,134,16,0,16,23,0,0,0,0
"50",50,1,10,0,7,41,15,0,23,0,2,2,0,15,2,0,62,2876,0,223,9,24,20,27,0,0,0,2
"51",51,10,2,0,8,39,8,0,25,0,3,1,0,13,2,0,58,4439,0,176,10,13,20,20,0,6,0,1
"52",52,3,2,3,13,33,10,0,22,0,2,1,0,15,1,0,64,4933,343,205,15,0,19,18,0,4,0,1
"53",53,11,2,0,12,41,9,0,26,0,2,2,0,15,1,0,60,2996,0,167,12,0,24,19,0,0,0,0
"54",54,12,5,0,57,41,18,0,18,0,2,2,0,11,1,0,61,4708,0,131,11,0,25,22,0,0,0,1
"55",55,6,2,0,8,37,8,0,25,0,1,1,0,16,2,0,59,4762,0,191,8,0,21,21,0,0,0,0
"56",56,3,2,0,6,35,9,0,24,0,3,1,0,13,2,80,63,4183,0,167,13,25,25,22,0,0,0,0
"57",57,3,9,0,13,41,13,0,26,0,3,1,0,13,2,0,62,2745,0,177,8,32,16,17,0,0,0,0
"58",58,12,3,0,96,51,18,0,28,0,3,1,0,16,1,0,61,3769,0,165,20,0,16,18,0,5,0,2
"59",59,13,4,0,7,45,13,0,28,0,2,1,0,12,1,0,64,4370,0,192,8,0,16,24,0,0,0,1
"60",60,13,4,0,48,47,13,0,26,0,1,1,0,15,2,78,63,4032,0,213,7,16,25,21,0,0,0,0
"61",61,7,1,0,12,30,11,0,17,0,2,2,0,16,2,0,61,4216,0,212,14,37,20,18,0,0,0,0
"62",62,12,5,15,10,37,20,0,17,0,2,2,0,11,1,0,59,3260,0,200,20,0,23,27,7,0,2,1
"63",63,9,5,0,16,41,20,0,18,0,4,1,0,12,1,0,62,3341,0,158,16,21,16,28,0,7,0,0
"64",64,7,4,0,48,30,10,0,17,0,2,1,0,13,1,0,63,2907,0,176,15,33,25,21,0,0,0,2
"65",65,11,2,0,78,47,12,2,27,0,1,1,0,12,2,0,63,4839,0,196,6,0,20,21,0,0,0,0
"66",66,9,5,0,10,36,10,0,20,0,1,2,0,11,2,80,59,5072,0,591,15,0,24,25,0,3,0,2
"67",67,13,4,0,16,41,12,0,25,0,3,4,0,13,1,0,62,3763,0,565,18,34,23,27,0,0,0,0
"68",68,10,3,0,14,46,17,0,25,0,3,2,0,13,2,0,63,4410,0,191,13,39,17,25,0,0,0,1
"69",69,4,2,0,8,33,8,0,20,0,3,2,0,13,1,0,60,3781,0,176,16,0,21,23,0,0,0,2
"70",70,1,1,0,60,29,7,0,16,0,4,2,0,15,1,0,62,3250,0,458,20,0,16,28,0,0,0,0
"71",71,3,2,0,8,49,15,0,27,0,2,1,0,12,2,0,62,3027,0,157,8,0,25,22,0,0,0,2
"72",72,5,1,0,10,33,13,0,17,0,1,1,0,16,2,0,61,4163,0,191,10,0,21,18,0,0,0,2
"73",73,3,2,0,12,38,13,0,21,0,3,2,0,15,1,0,64,3412,0,174,12,23,16,22,0,2,0,2
"74",74,10,1,0,39,33,9,0,23,0,4,2,10,16,1,0,60,4482,0,170,16,0,19,27,0,5,0,0
"75",75,9,5,0,12,49,19,0,24,0,1,1,0,11,1,0,60,3786,0,140,19,33,16,19,0,0,0,1
"76",76,4,9,0,10,41,16,0,19,0,1,1,0,11,2,0,58,4795,0,228,20,0,16,28,0,0,0,2
"77",77,2,2,0,6,37,15,0,21,0,4,1,0,11,1,0,63,4484,0,150,12,39,17,18,0,8,2,1
"78",78,9,1,0,11,31,7,0,18,0,2,1,0,15,2,0,59,5184,0,163,11,0,25,18,0,0,0,2
"79",79,6,4,0,10,46,14,0,26,21,2,1,0,13,1,0,62,3998,0,164,19,33,24,21,0,0,0,1
"80",80,9,5,0,9,26,6,0,17,0,4,2,0,13,2,0,60,4825,0,141,18,0,17,20,0,0,0,2
"81",81,4,4,0,9,43,14,0,22,0,4,2,0,15,1,0,61,4697,0,221,6,37,24,22,0,0,0,2
"82",82,5,2,0,14,41,12,0,23,0,3,2,0,12,2,0,62,3171,0,173,12,26,17,27,0,6,0,2
"83",83,9,5,0,66,41,11,2,26,0,4,1,0,13,2,0,59,3149,0,169,14,0,24,19,0,0,1,0
"84",84,5,2,0,45,36,9,0,24,0,3,1,0,13,2,80,62,4670,0,168,12,34,20,21,0,0,0,2
"85",85,9,3,0,8,41,15,0,23,0,4,1,0,15,1,0,63,3721,0,199,14,24,25,17,0,0,0,0
"86",86,5,1,3,72,36,10,0,25,0,2,1,0,12,1,0,61,2976,0,205,5,24,19,27,0,0,0,1
"87",87,9,4,9,6,30,5,0,20,0,4,1,0,11,2,0,64,3907,0,212,16,0,24,22,0,0,0,0
"88",88,5,3,0,8,42,14,0,24,0,4,2,0,15,2,0,60,3288,0,204,17,0,16,24,0,0,0,0
"89",89,5,2,0,11,41,19,0,21,0,10,2,0,5,1,0,61,4134,0,231,14,0,16,18,0,0,0,1
"90",90,11,2,0,7,44,17,0,19,0,3,2,0,13,1,0,61,2647,0,217,20,0,20,25,4,0,0,0
"91",91,3,8,0,7,41,17,0,18,0,3,1,0,15,1,0,63,3954,0,194,16,23,24,22,0,0,0,1
"92",92,8,2,0,13,41,14,0,20,0,3,2,0,12,2,0,60,2914,0,195,11,24,24,25,0,0,0,0
"93",93,8,1,0,8,39,6,0,26,0,3,2,0,12,1,0,64,2816,0,184,10,0,25,25,0,0,1,0
"94",94,5,1,6,13,33,13,0,18,0,2,1,0,16,1,0,63,4069,0,463,11,0,23,18,0,0,0,0
"95",95,6,5,0,78,43,13,0,27,0,2,6,0,13,1,0,59,4886,0,363,6,0,19,27,0,0,0,2
"96",96,12,2,0,15,49,14,0,28,26,4,1,0,13,1,0,58,3240,0,155,15,0,16,28,0,3,0,0
"97",97,11,2,3,45,30,10,0,18,0,2,1,0,12,1,0,63,3052,0,210,10,0,23,23,0,0,0,1
"98",98,4,2,0,10,38,7,0,27,0,2,1,0,12,2,0,59,4700,0,162,9,0,24,23,0,8,0,1
"99",99,4,1,0,72,42,18,0,21,0,1,4,0,11,2,0,63,4112,0,219,7,0,16,20,0,3,1,2
"100",100,6,2,0,45,45,14,0,24,0,3,1,0,16,2,0,62,4556,246,150,13,0,17,17,0,0,0,2
"101",101,10,5,0,8,36,15,0,21,0,3,2,0,12,1,0,62,5129,0,179,14,15,25,27,0,0,0,0
"102",102,11,5,0,7,47,18,0,25,13,1,2,0,16,1,0,59,2964,0,194,16,39,20,27,0,0,0,1
"103",103,6,1,0,51,53,19,0,27,0,4,1,0,16,1,0,59,3065,0,187,12,0,20,27,0,0,0,2
"104",104,7,5,0,8,33,9,0,22,0,2,2,0,15,1,0,63,4719,305,165,20,0,25,24,0,0,0,0
"105",105,7,3,0,13,33,7,0,22,0,3,1,0,16,1,0,64,4327,0,154,11,36,19,18,0,0,0,0
"106",106,2,2,0,54,31,6,0,20,0,2,2,0,13,2,0,64,3032,0,193,17,0,23,27,0,7,0,0
"107",107,7,3,0,66,31,10,0,19,0,2,2,0,12,1,0,58,3309,0,433,6,0,20,25,0,0,0,1
"108",108,8,4,0,84,38,18,0,17,0,3,2,0,13,2,0,59,2988,0,487,19,32,19,22,0,0,0,2
"109",109,13,5,0,9,34,14,0,18,0,3,1,0,12,2,0,62,5017,0,229,18,0,19,20,0,0,1,0
"110",110,5,3,0,6,51,20,0,24,0,4,2,0,11,1,0,64,4944,0,539,8,0,24,19,7,0,0,0
"111",111,6,1,0,48,46,18,0,21,0,4,2,0,12,1,0,64,3754,0,142,19,38,19,24,0,0,0,2
"112",112,5,3,0,16,38,14,0,23,0,3,1,0,15,1,0,64,3543,0,170,12,0,16,27,0,0,0,1
"113",113,11,1,0,72,28,6,0,17,0,3,2,0,11,1,65,62,3200,0,171,14,0,21,17,0,0,0,0
"114",114,13,5,0,57,34,11,0,18,0,3,3,0,16,1,77,61,4518,0,171,10,25,25,27,0,0,0,2
"115",115,13,5,0,96,37,16,0,20,0,4,2,0,15,2,0,59,4913,0,181,17,24,16,22,0,0,0,0
"116",116,7,1,0,78,40,10,0,23,0,2,2,0,15,2,0,63,3525,0,172,17,28,17,22,0,0,0,2
"117",117,7,4,0,72,47,17,0,24,0,4,2,0,16,2,0,62,4363,0,130,19,0,25,28,0,0,0,1
"118",118,4,2,0,90,44,12,0,26,0,1,2,0,16,2,0,62,2656,0,197,7,0,16,27,0,0,0,0
"119",119,14,4,0,15,44,16,0,23,0,1,2,0,12,2,0,61,4251,0,156,9,0,25,26,0,0,0,2
"120",120,9,3,0,10,39,17,0,20,0,4,4,0,15,2,0,64,3078,0,211,14,0,16,26,0,0,0,0
"121",121,9,2,0,6,38,13,0,21,0,4,2,0,11,2,0,61,3276,0,135,5,20,16,25,0,0,0,2
"122",122,6,1,0,16,41,10,0,27,0,3,1,0,12,2,0,58,4069,0,192,10,0,20,22,0,0,0,0
"123",123,14,5,0,6,42,18,0,22,0,3,2,0,15,2,0,62,4994,0,189,17,0,19,28,0,0,0,2
"124",124,13,3,0,93,39,10,0,23,0,4,1,0,13,2,0,59,4227,0,156,6,0,24,18,0,0,0,1
"125",125,6,5,0,81,30,8,0,18,0,2,2,0,15,1,0,64,4475,0,162,15,0,24,19,0,0,0,2
"126",126,14,5,3,81,48,20,0,23,0,3,2,0,13,2,0,61,4968,0,199,7,36,25,22,0,0,0,0
"127",127,8,3,0,7,37,16,0,16,0,2,2,0,11,2,0,58,4658,0,161,9,20,17,17,0,0,0,0
"128",128,6,5,0,7,35,7,0,24,0,1,2,0,13,2,0,64,3289,0,184,20,0,23,27,0,0,1,2
"129",129,13,4,0,60,39,10,0,27,0,3,4,0,16,2,0,64,2953,0,218,20,28,21,28,0,0,0,0
"130",130,4,2,0,39,32,10,4,16,23,3,2,0,16,1,0,64,2698,0,135,12,0,19,21,0,0,0,2
"131",131,10,2,0,14,45,10,2,26,0,3,2,0,13,2,0,59,3977,0,187,20,0,19,25,0,0,0,2
"132",132,5,1,0,84,51,20,0,27,0,4,2,0,12,1,0,59,3456,0,194,10,15,24,20,0,2,0,0
"133",133,11,5,0,7,30,11,0,17,0,3,1,0,16,2,0,62,2942,0,173,15,0,24,22,0,0,0,1
"134",134,12,2,0,11,32,14,0,17,0,3,2,0,12,2,81,60,3393,0,160,6,0,23,19,0,0,0,1
"135",135,9,3,0,96,41,16,0,20,20,1,2,0,12,2,0,58,3397,0,209,13,0,24,17,0,0,0,1
"136",136,8,2,0,75,48,19,0,28,0,2,6,0,16,1,0,64,4829,0,143,17,30,17,21,0,0,0,0
"137",137,11,3,0,90,49,18,0,28,0,3,2,0,11,2,0,61,3882,0,130,15,26,25,17,0,0,0,1
"138",138,7,2,0,15,44,19,0,24,0,3,2,0,16,2,0,62,4740,0,146,16,0,16,20,0,0,0,1
"139",139,10,5,0,11,37,10,0,20,0,3,2,0,13,1,0,64,3819,0,135,17,30,17,20,0,0,0,0
"140",140,7,5,0,69,38,14,0,22,0,1,1,0,15,1,0,62,3650,0,148,9,26,16,22,0,0,0,2
"141",141,10,4,0,10,40,18,0,16,0,2,2,0,15,2,0,62,2807,0,189,9,0,25,22,0,0,0,1
"142",142,11,5,0,69,25,7,0,16,0,2,1,0,11,1,0,60,4232,0,218,20,0,19,28,0,0,0,0
"143",143,3,7,0,12,38,9,0,26,0,4,2,0,16,1,0,64,3959,0,214,6,0,16,23,0,0,0,1
"144",144,6,4,0,84,47,15,0,25,0,3,1,0,13,1,0,64,5164,0,172,12,26,17,27,0,0,0,2
"145",145,14,4,0,9,37,11,0,21,0,2,2,0,16,2,0,59,3828,0,183,18,0,25,20,0,0,0,0
"146",146,12,2,0,12,34,10,0,22,23,3,2,0,13,1,0,63,4251,0,203,11,19,19,28,0,0,0,0
"147",147,5,1,0,72,39,6,0,27,0,3,3,0,16,1,0,63,4160,200,184,15,0,25,19,0,0,0,0
"148",148,6,2,0,96,42,15,0,26,0,2,2,0,16,2,0,60,4830,308,203,11,0,16,19,0,0,0,2
"149",149,13,5,0,87,44,10,0,27,0,3,3,0,12,2,0,60,4157,0,206,19,0,16,19,0,0,0,2
"150",150,6,3,0,93,36,15,0,20,0,3,2,0,13,1,0,60,4342,0,136,9,0,23,26,0,2,0,1
"151",151,4,2,0,6,31,9,0,20,0,1,1,0,16,1,0,60,3254,0,487,14,0,17,26,0,0,0,1
"152",152,2,1,0,72,36,14,0,18,0,4,2,0,15,1,0,60,4391,0,188,5,0,23,25,0,0,0,2
"153",153,8,3,0,15,39,16,0,16,0,2,3,0,11,2,0,63,4320,0,494,5,19,19,27,0,0,0,1
"154",154,10,5,0,78,48,17,0,27,0,4,1,0,12,1,0,64,5102,0,164,8,13,20,17,0,6,0,2
"155",155,7,2,0,7,35,8,0,26,0,4,1,0,12,2,0,63,4067,0,199,10,36,17,24,0,0,2,1
"156",156,4,1,0,6,38,11,0,24,0,4,2,0,16,1,0,61,3887,0,406,18,0,23,26,0,0,0,1
"157",157,8,1,0,11,38,16,0,18,0,4,1,0,11,2,0,58,3369,0,502,17,29,16,28,0,0,0,1
"158",158,11,4,0,10,38,11,0,27,0,1,1,0,15,1,0,59,5020,334,231,15,0,25,28,0,0,0,2
"159",159,6,5,0,8,30,7,2,17,0,3,2,0,12,1,0,64,4751,0,155,13,37,21,19,0,0,0,1
"160",160,5,3,0,10,35,12,0,17,0,3,6,0,15,2,0,60,4666,0,130,8,0,23,27,0,0,0,1
"161",161,5,3,0,13,51,19,0,27,0,3,1,0,15,1,73,63,3426,0,154,7,0,23,23,0,0,0,2
"162",162,2,2,0,10,37,14,0,17,0,2,2,0,15,2,0,60,3747,0,185,17,13,17,25,0,0,0,0
"163",163,11,3,0,8,38,16,0,19,0,3,1,0,11,1,80,64,3698,0,147,11,0,19,19,0,0,0,1
"164",164,10,3,0,11,29,6,0,20,0,3,2,0,13,2,0,62,4355,0,141,8,0,24,24,0,0,0,2
"165",165,6,2,0,15,37,14,0,22,0,2,1,0,16,2,0,64,4751,0,216,10,0,16,22,0,0,0,0
"166",166,9,4,0,72,40,9,0,24,0,6,2,0,16,1,0,58,4951,0,204,14,38,19,19,0,0,0,2
"167",167,15,5,12,7,42,18,0,22,0,2,1,0,13,1,0,64,3859,0,143,18,32,19,20,0,0,0,1
"168",168,10,3,0,6,50,19,0,24,0,4,3,0,13,2,0,62,5013,0,132,19,19,24,20,0,0,0,2
"169",169,8,5,0,10,32,11,0,16,0,4,1,0,13,1,0,64,3041,0,199,17,0,17,25,0,4,0,0
"170",170,11,5,15,84,34,7,0,23,0,3,1,0,11,2,0,64,4313,0,156,11,15,21,23,0,0,0,0
"171",171,12,4,0,7,34,6,0,22,0,2,2,0,16,1,0,64,4270,0,222,20,28,19,20,0,0,0,2
"172",172,7,3,0,13,44,9,2,28,0,4,2,0,13,1,0,59,4502,0,230,12,0,20,25,0,0,0,0
"173",173,8,3,0,54,28,5,0,18,0,3,1,0,16,2,0,63,3898,0,205,20,0,19,23,0,0,0,1
"174",174,10,4,0,8,37,14,0,19,0,2,1,0,13,1,0,61,2798,0,190,20,0,24,26,0,0,0,0
"175",175,3,1,0,63,42,20,0,19,0,2,2,0,13,2,0,59,2875,0,172,6,0,17,25,0,0,0,1
"176",176,13,4,0,16,44,20,0,17,0,1,2,0,13,2,0,59,4925,0,137,14,23,20,22,0,0,0,1
"177",177,3,2,0,63,37,13,0,17,0,2,1,0,13,1,0,64,4647,0,187,20,0,24,24,0,2,0,0
"178",178,10,2,0,54,38,17,0,20,0,4,2,0,16,2,0,62,3178,0,223,15,0,17,25,0,0,0,1
"179",179,5,2,0,13,46,19,0,25,0,3,2,0,13,2,0,60,4054,0,191,11,0,20,19,0,0,0,0
"180",180,7,4,0,81,48,14,0,26,0,2,1,0,15,2,0,60,3624,0,229,6,30,24,18,0,0,0,2
"181",181,3,2,0,11,41,13,0,24,0,4,1,0,12,1,0,63,3335,0,155,12,13,19,17,0,0,0,1
"182",182,8,4,0,14,27,5,0,18,0,3,2,0,16,1,75,61,4245,0,201,10,36,21,28,0,0,0,2
"183",183,9,3,0,69,34,6,0,24,0,4,2,0,13,2,0,62,2932,0,146,16,25,20,24,0,0,2,2
"184",184,9,5,0,8,39,11,0,27,0,2,2,0,13,1,0,62,4926,0,147,9,0,23,23,0,0,0,2
"185",185,5,12,0,10,42,12,3,26,0,3,1,0,16,2,0,58,4047,0,148,16,0,19,24,0,0,0,2
"186",186,5,5,0,13,33,8,0,24,0,11,1,0,11,2,0,59,4678,0,598,7,16,19,21,0,0,0,2
"187",187,10,5,0,13,41,12,0,28,0,1,1,0,13,1,0,59,2746,0,142,13,0,17,20,0,5,0,0
"188",188,6,3,0,9,40,19,0,19,0,3,2,0,11,1,0,60,2948,0,187,7,0,19,24,0,2,0,2
"189",189,10,1,0,15,43,15,0,24,0,2,2,0,12,2,0,63,3600,0,160,11,0,21,23,0,2,0,0
"190",190,4,3,0,14,42,9,0,27,0,1,1,0,16,2,0,59,2951,0,191,6,0,19,21,0,0,0,0
"191",191,12,4,0,39,34,10,0,17,0,4,2,0,13,2,0,63,2940,0,153,13,0,24,17,0,0,0,0
"192",192,11,3,0,6,37,8,0,25,0,1,2,0,13,1,0,61,5037,0,137,13,0,16,25,0,0,0,0
"193",193,5,3,9,7,37,14,0,22,0,2,1,0,12,2,0,64,3932,0,161,16,26,20,17,0,0,0,0
"194",194,6,3,0,10,40,11,0,25,0,2,3,0,11,2,0,59,4401,0,219,5,0,16,23,0,0,0,1
"195",195,12,4,3,36,41,17,0,18,0,4,6,0,13,2,0,63,5046,0,188,11,15,23,28,0,2,1,0
"196",196,8,2,0,13,38,14,0,24,0,4,2,0,11,2,0,63,4129,321,144,16,0,16,24,0,0,0,2
"197",197,11,3,0,14,35,9,0,19,0,4,2,0,15,1,0,59,4771,0,224,19,0,17,21,0,0,0,1
"198",198,5,4,0,7,31,12,0,16,0,2,1,0,13,1,0,59,3241,0,162,18,0,17,28,0,0,0,1
"199",199,5,4,0,75,45,15,0,26,0,2,1,0,12,2,0,59,3397,0,163,17,0,17,18,0,0,0,1
"200",200,13,3,0,15,41,13,0,25,0,3,2,0,11,2,0,60,3547,0,141,8,0,23,25,0,0,0,2
"201",201,7,2,3,66,41,9,0,27,0,4,2,0,15,1,0,63,3548,0,140,20,34,17,17,0,0,0,1
"202",202,6,3,0,10,35,8,0,22,0,3,2,0,13,1,0,62,3101,0,150,20,0,16,21,0,0,0,0
"203",203,7,5,0,8,34,12,0,18,0,3,2,0,13,2,0,58,2611,0,217,12,21,23,17,0,6,0,2
"204",204,9,2,0,6,48,14,0,27,0,1,2,0,16,2,0,59,3798,0,226,12,0,19,26,0,0,0,0
"205",205,4,1,0,54,54,19,3,27,0,1,6,0,11,2,0,62,3976,0,217,14,32,24,27,3,0,0,0
"206",206,9,5,0,9,36,6,0,26,0,2,2,0,16,1,0,63,3513,0,182,16,0,24,19,0,0,0,0
"207",207,13,4,0,72,44,19,0,18,0,3,1,0,12,2,0,62,3725,0,172,7,0,24,28,0,3,0,1
"208",208,7,4,0,11,37,13,0,19,0,4,2,0,15,2,0,58,4661,0,215,17,0,16,19,0,0,0,1
"209",209,10,4,0,14,43,16,0,20,0,3,2,0,12,1,0,64,4102,0,194,15,0,16,21,8,0,0,0
"210",210,7,3,15,93,36,15,0,18,0,2,3,0,15,2,0,61,4190,0,174,16,0,20,17,0,0,0,1
"211",211,2,1,0,7,55,20,2,26,0,2,2,0,16,2,0,61,2877,0,229,11,25,17,23,0,0,0,0
"212",212,5,5,0,13,34,10,0,21,0,4,2,0,16,1,0,60,3280,0,187,6,0,20,27,0,0,0,1
"213",213,10,5,0,16,44,15,0,26,0,4,1,0,15,1,0,64,4953,0,147,15,0,21,27,6,3,0,2
"214",214,1,1,3,10,25,7,0,18,0,3,2,0,15,2,0,63,3835,0,188,17,0,24,22,0,0,0,0
"215",215,8,4,0,96,33,7,1,22,0,1,1,0,16,2,0,61,3556,0,206,15,0,19,19,0,0,0,2
"216",216,8,2,0,66,47,17,0,25,0,2,2,0,13,2,0,61,3076,0,187,18,0,21,17,0,0,0,0
"217",217,15,5,0,60,48,18,0,23,0,6,2,0,11,2,0,58,3308,0,191,16,19,16,19,0,0,0,2
"218",218,8,5,0,57,39,11,0,23,0,3,2,0,11,1,0,63,3855,0,230,10,0,25,18,0,0,0,2
"219",219,6,4,0,8,39,18,0,19,0,3,1,0,5,2,0,63,2811,0,189,15,33,25,27,0,0,0,2
"220",220,10,4,0,12,41,14,0,27,0,3,1,0,15,2,0,58,3570,0,162,13,0,21,22,0,4,0,2
"221",221,11,2,0,6,29,10,0,17,0,3,1,0,11,1,0,64,4584,0,188,5,0,17,27,0,0,0,0
"222",222,2,2,0,14,32,7,0,24,0,2,3,0,15,2,0,62,4747,0,159,8,39,19,18,2,0,0,1
"223",223,10,3,0,48,36,9,0,21,0,3,2,0,13,1,0,63,5124,0,179,18,19,20,18,0,5,0,0
"224",224,8,5,0,9,39,12,0,25,0,3,1,0,12,1,0,58,4693,0,130,13,32,16,28,0,4,0,2
"225",225,7,1,0,13,35,6,0,23,0,1,2,0,16,2,0,59,3206,0,196,7,37,16,28,0,0,0,0
"226",226,7,2,0,51,50,19,0,25,0,2,1,0,16,1,0,64,4493,0,190,16,0,24,26,0,0,0,1
"227",227,8,5,0,9,46,18,0,23,0,2,2,0,11,2,0,64,3383,0,190,18,25,17,17,0,0,0,1
"228",228,4,1,0,8,39,10,0,23,0,4,1,0,13,1,0,61,4935,0,448,19,20,20,21,0,0,0,2
