"","Indnum","Group","Activity","Units","Consumption","Quality_of_Life_Importance__1_10","solar_powered__water_heater","gas_water_heater","electric_water_heater___peak_hou","electric_water_heater___off_peak","gas","natural_gas","hybrid","electric___peak_hours","electric___off_peak_hours","jetfuel","waste","tcf","acf"
"20",1,5,"car trips - driver and self","miles",38,27,0,0,0,0,0.021052,0,0,0,0,0,0,0.021052,0.021052
"21",1,5,"car trips - 2+ people with multiple end points","miles",10,47,0,0,0,0,0.00354,0,0,0,0,0,0,0.00354,0.00354
"22",1,5,"trips using public ground transportation","bags",15,49,0,0,0,0,0.00414,0,0,0,0,0,0,0.00414,0.00414
"23",1,6,"bags of garbage disposed","bags",26,41,0,0,0,0,0,0,0,0,0,0,1.0894,1.0894,1.0894
"24",1,6,"bags of recycling deposited (negative CF)","bags",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",1,6,"bags of compost deposited (negative CF)","bags",3,6,0,0,0,0,0,0,0,0,0,0,-0.1257,-0.1257,-0.1257
"26",1,6,"hazardous or electric items disposed","bags",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",1,6,"large items disposed","items",2,15,0,0,0,0,0,0,0,0,0,0,0.0422,0.0422,0.0422
"28",2,1,"Household heating => 70F","count",7,77,0,0,0,0,0,0.003052,0,0.00455,0.003794,0,0,0.011396,0.00379866666666667
"29",2,1,"Household heating < 70F","count",2,61,0,0,0,0,0,0.001744,0,0.001846,0.001802,0,0,0.005392,0.00179733333333333
"30",2,1,"Use of heat pump","count",0,55,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",2,1,"Use of air conditioner","count",15,57,0,0,0,0,0,0.00897,0,0.1197,0.010815,0,0,0.139485,0.046495
"32",2,2,"shower - short","count",7,85,8.4e-05,0,0,0.001393,0,0,0,0,0,0,0,0.001477,0.0007385
"33",2,2,"shower - long (> 3 min)","count",13,74,0.000221,0,0,0.004056,0,0,0,0,0,0,0,0.004277,0.0021385
"34",2,2,"bath","count",0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",2,2,"wash-up","count",44,34,0.000176,0,0,0.00242,0,0,0,0,0,0,0,0.002596,0.001298
"36",2,3,"use of dishwasher","count",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",2,3,"use of clothes washer","count",8,35,0.000264,0,0,0.003056,0,0.001232,0,0.000816,0.000744,0,0,0.006112,0.0012224
"38",2,3,"use of clothes dryer","count",4,13,0,0,0,0,0,0.000748,0,0.000528,0.000488,0,0,0.001764,0.000588
"39",2,3,"use of cooking range","count",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",2,3,"use of  oven","count",8,37,0,0,0,0,0,0.00204,0,0.001296,0.0012,0,0,0.004536,0.001512
"41",2,3,"use of self-clean feature of electric oven","count",3,16,0,0,0,0,0,0,0,0.000597,0.000534,0,0,0.001131,0.0005655
"42",2,3,"Small kitchen appliance in the home","count",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",2,4,"TV/computer use","count",63,26,0,0,0,0,0,0,0,0.000126,0.000126,0,0,0.000252,0.000126
"44",2,5,"air travel - large plane","miles",2524,47,0,0,0,0,0,0,0,0,0,0.451796,0,0.451796,0.451796
"45",2,5,"air travel - small  plane (<50 seats)","miles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",2,5,"car trips- self only","miles",273,43,0,0,0,0,0.150423,0,0,0,0,0,0,0.150423,0.150423
"47",2,5,"car trips - driver and self","miles",19,30,0,0,0,0,0.010526,0,0,0,0,0,0,0.010526,0.010526
"48",2,5,"car trips - 2+ people with multiple end points","miles",17,0,0,0,0,0,0.006018,0,0,0,0,0,0,0.006018,0.006018
"49",2,5,"trips using public ground transportation","bags",12,43,0,0,0,0,0.003312,0,0,0,0,0,0,0.003312,0.003312
"50",2,6,"bags of garbage disposed","bags",17,49,0,0,0,0,0,0,0,0,0,0,0.7123,0.7123,0.7123
"51",2,6,"bags of recycling deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",2,6,"bags of compost deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",2,6,"hazardous or electric items disposed","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",2,6,"large items disposed","items",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",3,1,"Household heating => 70F","hours",3,64,0,0,0,0,0,0.001308,0,0.00195,0.001626,0,0,0.004884,0.001628
"56",3,1,"Household heating < 70F","hours",1,75,0,0,0,0,0,0.000872,0,0.000923,0.000901,0,0,0.002696,0.000898666666666667
"57",3,1,"Use of heat pump","hours",0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",3,1,"Use of air conditioner","hours",16,52,0,0,0,0,0,0.009568,0,0.12768,0.011536,0,0,0.148784,0.0495946666666667
"59",3,2,"shower - short","count",7,95,8.4e-05,0.000714,0.001624,0.001393,0,0,0,0,0,0,0,0.003815,0.00095375
"60",3,2,"shower - long (> 3 min)","count",40,85,0.00068,0.00596,0.01416,0.01248,0,0,0,0,0,0,0,0.03328,0.00832
"61",3,2,"bath","count",0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",3,2,"wash-up","count",45,27,0.00018,0.00189,0.003015,0.002475,0,0,0,0,0,0,0,0.00756,0.00189
"63",3,3,"use of dishwasher","count",0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",3,3,"use of clothes washer","count",5,44,0.000165,0.000995,0.002165,0.00191,0,0.00077,0,0.00051,0.000465,0,0,0.00698,0.000997142857142857
"65",3,3,"use of clothes dryer","count",3,12,0,0,0,0,0,0.000561,0,0.000396,0.000366,0,0,0.001323,0.000441
"66",3,3,"use of cooking range","count",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",3,3,"use of  oven","count",10,37,0,0,0,0,0,0.00255,0,0.00162,0.0015,0,0,0.00567,0.00189
"68",3,3,"use of self-clean feature of electric oven","count",4,19,0,0,0,0,0,0,0,0.000796,0.000712,0,0,0.001508,0.000754
"69",3,3,"Small kitchen appliance in the home","count",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",3,4,"TV/computer use","count",64,27,0,0,0,0,0,0,0,0.000128,0.000128,0,0,0.000256,0.000128
"71",3,5,"air travel - large plane","miles",2653,42,0,0,0,0,0,0,0,0,0,0.474887,0,0.474887,0.474887
"72",3,5,"air travel - small  plane (<50 seats)","miles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",3,5,"car trips- self only","miles",260,60,0,0,0,0,0.14326,0,0,0,0,0,0,0.14326,0.14326
"74",3,5,"car trips - driver and self","miles",35,19,0,0,0,0,0.01939,0,0,0,0,0,0,0.01939,0.01939
"75",3,5,"car trips - 2+ people with multiple end points","miles",23,0,0,0,0,0,0.008142,0,0,0,0,0,0,0.008142,0.008142
"76",3,5,"trips using public ground transportation","bags",13,44,0,0,0,0,0.003588,0,0,0,0,0,0,0.003588,0.003588
"77",3,6,"bags of garbage disposed","bags",22,49,0,0,0,0,0,0,0,0,0,0,0.9218,0.9218,0.9218
"78",3,6,"bags of recycling deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",3,6,"bags of compost deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",3,6,"hazardous or electric items disposed","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",3,6,"large items disposed","items",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",4,1,"Household heating => 70F","count",10,93,0,0,0,0,0,0.00436,0,0.0065,0.00542,0,0,0.01628,0.00542666666666667
"83",4,1,"Household heating < 70F","count",4,73,0,0,0,0,0,0.003488,0,0.003692,0.003604,0,0,0.010784,0.00359466666666667
"84",4,1,"Use of heat pump","count",0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",4,1,"Use of air conditioner","count",18,47,0,0,0,0,0,0.010764,0,0.14364,0.012978,0,0,0.167382,0.055794
"86",4,2,"shower - short","count",5,90,0,0.00051,0,0.000995,0,0,0,0,0,0,0,0.001505,0.0007525
"87",4,2,"shower - long (> 3 min)","count",12,84,0,0.001788,0,0.003744,0,0,0,0,0,0,0,0.005532,0.002766
"88",4,2,"bath","count",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",4,2,"wash-up","count",35,36,0,0.00147,0,0.001925,0,0,0,0,0,0,0,0.003395,0.0016975
"90",4,3,"use of dishwasher","count",0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",4,3,"use of clothes washer","count",6,41,0,0.001194,0,0.002292,0,0.000924,0,0.000612,0.000558,0,0,0.00558,0.001116
"92",4,3,"use of clothes dryer","count",2,14,0,0,0,0,0,0.000374,0,0.000264,0.000244,0,0,0.000882,0.000294
"93",4,3,"use of cooking range","count",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",4,3,"use of  oven","count",11,33,0,0,0,0,0,0.002805,0,0.001782,0.00165,0,0,0.006237,0.002079
"95",4,3,"use of self-clean feature of electric oven","count",3,18,0,0,0,0,0,0,0,0.000597,0.000534,0,0,0.001131,0.0005655
"96",4,3,"Small kitchen appliance in the home","count",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",4,4,"TV/computer use","count",59,25,0,0,0,0,0,0,0,0.000118,0.000118,0,0,0.000236,0.000118
"98",4,5,"air travel - large plane","miles",3419,44,0,0,0,0,0,0,0,0,0,0.612001,0,0.612001,0.612001
"99",4,5,"air travel - small  plane (<50 seats)","miles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",4,5,"car trips- self only","miles",336,58,0,0,0,0,0.185136,0,0,0,0,0,0,0.185136,0.185136
"101",4,5,"car trips - driver and self","miles",28,28,0,0,0,0,0.015512,0,0,0,0,0,0,0.015512,0.015512
"102",4,5,"car trips - 2+ people with multiple end points","miles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",4,5,"trips using public ground transportation","bags",12,42,0,0,0,0,0.003312,0,0,0,0,0,0,0.003312,0.003312
"104",4,6,"bags of garbage disposed","bags",27,41,0,0,0,0,0,0,0,0,0,0,1.1313,1.1313,1.1313
"105",4,6,"bags of recycling deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",4,6,"bags of compost deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107",4,6,"hazardous or electric items disposed","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108",4,6,"large items disposed","items",0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",5,1,"Household heating => 70F","hours",8,80,0,0,0,0,0,0.003488,0,0.0052,0.004336,0,0,0.013024,0.00434133333333333
"110",5,1,"Household heating < 70F","hours",10,77,0,0,0,0,0,0.00872,0,0.00923,0.00901,0,0,0.02696,0.00898666666666667
"111",5,1,"Use of heat pump","hours",0,43,0,0,0,0,0,0,0,0,0,0,0,0,0
"112",5,1,"Use of air conditioner","hours",14,53,0,0,0,0,0,0.008372,0,0.11172,0.010094,0,0,0.130186,0.0433953333333333
"113",5,2,"shower - short","count",7,84,8.4e-05,0.000714,0.001624,0,0,0,0,0,0,0,0,0.002422,0.000807333333333333
"114",5,2,"shower - long (> 3 min)","count",10,72,0.00017,0.00149,0.00354,0,0,0,0,0,0,0,0,0.0052,0.00173333333333333
"115",5,2,"bath","count",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"116",5,2,"wash-up","count",45,28,0.00018,0.00189,0.003015,0,0,0,0,0,0,0,0,0.005085,0.001695
"117",5,3,"use of dishwasher","count",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"118",5,3,"use of clothes washer","count",7,41,0.000231,0.001393,0.003031,0,0,0.001078,0,0.000714,0.000651,0,0,0.007098,0.001183
"119",5,3,"use of clothes dryer","count",1,21,0,0,0,0,0,0.000187,0,0.000132,0.000122,0,0,0.000441,0.000147
"120",5,3,"use of cooking range","count",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121",5,3,"use of  oven","count",12,32,0,0,0,0,0,0.00306,0,0.001944,0.0018,0,0,0.006804,0.002268
"122",5,3,"use of self-clean feature of electric oven","count",2,16,0,0,0,0,0,0,0,0.000398,0.000356,0,0,0.000754,0.000377
"123",5,3,"Small kitchen appliance in the home","count",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",5,4,"TV/computer use","count",64,29,0,0,0,0,0,0,0,0.000128,0.000128,0,0,0.000256,0.000128
"125",5,5,"air travel - large plane","miles",3113,46,0,0,0,0,0,0,0,0,0,0.557227,0,0.557227,0.557227
"126",5,5,"air travel - small  plane (<50 seats)","miles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",5,5,"car trips- self only","miles",388,50,0,0,0,0,0.213788,0,0,0,0,0,0,0.213788,0.213788
"128",5,5,"car trips - driver and self","miles",15,27,0,0,0,0,0.00831,0,0,0,0,0,0,0.00831,0.00831
"129",5,5,"car trips - 2+ people with multiple end points","miles",15,0,0,0,0,0,0.00531,0,0,0,0,0,0,0.00531,0.00531
"130",5,5,"trips using public ground transportation","bags",19,45,0,0,0,0,0.005244,0,0,0,0,0,0,0.005244,0.005244
"131",5,6,"bags of garbage disposed","bags",17,48,0,0,0,0,0,0,0,0,0,0,0.7123,0.7123,0.7123
"132",5,6,"bags of recycling deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133",5,6,"bags of compost deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134",5,6,"hazardous or electric items disposed","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135",5,6,"large items disposed","items",2,12,0,0,0,0,0,0,0,0,0,0,0.0422,0.0422,0.0422
"136",6,1,"Household heating => 70F","count",6,63,0,0,0,0,0,0.002616,0,0.0039,0.003252,0,0,0.009768,0.003256
"137",6,1,"Household heating < 70F","count",3,75,0,0,0,0,0,0.002616,0,0.002769,0.002703,0,0,0.008088,0.002696
"138",6,1,"Use of heat pump","count",0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
"139",6,1,"Use of air conditioner","count",14,44,0,0,0,0,0,0.008372,0,0.11172,0.010094,0,0,0.130186,0.0433953333333333
"140",6,2,"shower - short","count",8,97,9.6e-05,0,0,0.001592,0,0,0,0,0,0,0,0.001688,0.000844
"141",6,2,"shower - long (> 3 min)","count",26,80,0.000442,0,0,0.008112,0,0,0,0,0,0,0,0.008554,0.004277
"142",6,2,"bath","count",0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
"143",6,2,"wash-up","count",32,35,0.000128,0,0,0.00176,0,0,0,0,0,0,0,0.001888,0.000944
"144",6,3,"use of dishwasher","count",10,22,0.00025,0,0,0.00311,0,0,0,0.00084,0.00078,0,0,0.00498,0.001245
"145",6,3,"use of clothes washer","count",4,31,0.000132,0,0,0.001528,0,0.000616,0,0.000408,0.000372,0,0,0.003056,0.0006112
"146",6,3,"use of clothes dryer","count",2,20,0,0,0,0,0,0.000374,0,0.000264,0.000244,0,0,0.000882,0.000294
"147",6,3,"use of cooking range","count",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148",6,3,"use of  oven","count",11,33,0,0,0,0,0,0.002805,0,0.001782,0.00165,0,0,0.006237,0.002079
"149",6,3,"use of self-clean feature of electric oven","count",3,12,0,0,0,0,0,0,0,0.000597,0.000534,0,0,0.001131,0.0005655
"150",6,3,"Small kitchen appliance in the home","count",59,0,0,0,0,0,0,0,0,0.003186,0.002419,0,0,0.005605,0.0028025
"151",6,4,"TV/computer use","count",59,30,0,0,0,0,0,0,0,0.000118,0.000118,0,0,0.000236,0.000118
"152",6,5,"air travel - large plane","miles",2021,47,0,0,0,0,0,0,0,0,0,0.361759,0,0.361759,0.361759
"153",6,5,"air travel - small  plane (<50 seats)","miles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154",6,5,"car trips- self only","miles",267,45,0,0,0,0,0.147117,0,0,0,0,0,0,0.147117,0.147117
"155",6,5,"car trips - driver and self","miles",21,34,0,0,0,0,0.011634,0,0,0,0,0,0,0.011634,0.011634
"156",6,5,"car trips - 2+ people with multiple end points","miles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157",6,5,"trips using public ground transportation","bags",14,51,0,0,0,0,0.003864,0,0,0,0,0,0,0.003864,0.003864
"158",6,6,"bags of garbage disposed","bags",22,47,0,0,0,0,0,0,0,0,0,0,0.9218,0.9218,0.9218
"159",6,6,"bags of recycling deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160",6,6,"bags of compost deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161",6,6,"hazardous or electric items disposed","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162",6,6,"large items disposed","items",1,17,0,0,0,0,0,0,0,0,0,0,0.0211,0.0211,0.0211
"163",7,1,"Household heating => 70F","hours",5,85,0,0,0,0,0,0.00218,0,0.00325,0.00271,0,0,0.00814,0.00271333333333333
"164",7,1,"Household heating < 70F","hours",1,72,0,0,0,0,0,0.000872,0,0.000923,0.000901,0,0,0.002696,0.000898666666666667
"165",7,1,"Use of heat pump","hours",0,44,0,0,0,0,0,0,0,0,0,0,0,0,0
"166",7,1,"Use of air conditioner","hours",20,46,0,0,0,0,0,0.01196,0,0.1596,0.01442,0,0,0.18598,0.0619933333333333
"167",7,2,"shower - short","count",3,86,3.6e-05,0.000306,0,0.000597,0,0,0,0,0,0,0,0.000939,0.000313
"168",7,2,"shower - long (> 3 min)","count",23,80,0.000391,0.003427,0,0.007176,0,0,0,0,0,0,0,0.010994,0.00366466666666667
"169",7,2,"bath","count",0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
"170",7,2,"wash-up","count",37,44,0.000148,0.001554,0,0.002035,0,0,0,0,0,0,0,0.003737,0.00124566666666667
"171",7,3,"use of dishwasher","count",0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
"172",7,3,"use of clothes washer","count",5,38,0.000165,0.000995,0,0.00191,0,0.00077,0,0.00051,0.000465,0,0,0.004815,0.0008025
"173",7,3,"use of clothes dryer","count",4,17,0,0,0,0,0,0.000748,0,0.000528,0.000488,0,0,0.001764,0.000588
"174",7,3,"use of cooking range","count",16,0,0,0,0,0,0,0.003216,0,0.002272,0.00216,0,0,0.007648,0.00254933333333333
"175",7,3,"use of  oven","count",9,38,0,0,0,0,0,0.002295,0,0.001458,0.00135,0,0,0.005103,0.001701
"176",7,3,"use of self-clean feature of electric oven","count",1,17,0,0,0,0,0,0,0,0.000199,0.000178,0,0,0.000377,0.0001885
"177",7,3,"Small kitchen appliance in the home","count",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178",7,4,"TV/computer use","count",63,29,0,0,0,0,0,0,0,0.000126,0.000126,0,0,0.000252,0.000126
"179",7,5,"air travel - large plane","miles",3016,45,0,0,0,0,0,0,0,0,0,0.539864,0,0.539864,0.539864
"180",7,5,"air travel - small  plane (<50 seats)","miles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"181",7,5,"car trips- self only","miles",288,57,0,0,0,0,0.158688,0,0,0,0,0,0,0.158688,0.158688
"182",7,5,"car trips - driver and self","miles",39,22,0,0,0,0,0.021606,0,0,0,0,0,0,0.021606,0.021606
"183",7,5,"car trips - 2+ people with multiple end points","miles",11,0,0,0,0,0,0.003894,0,0,0,0,0,0,0.003894,0.003894
"184",7,5,"trips using public ground transportation","bags",12,48,0,0,0,0,0.003312,0,0,0,0,0,0,0.003312,0.003312
"185",7,6,"bags of garbage disposed","bags",18,41,0,0,0,0,0,0,0,0,0,0,0.7542,0.7542,0.7542
"186",7,6,"bags of recycling deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187",7,6,"bags of compost deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188",7,6,"hazardous or electric items disposed","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189",7,6,"large items disposed","items",0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
"190",8,1,"Household heating => 70F","count",4,79,0,0,0,0,0,0.001744,0,0.0026,0.002168,0,0,0.006512,0.00217066666666667
"191",8,1,"Household heating < 70F","count",6,71,0,0,0,0,0,0.005232,0,0.005538,0.005406,0,0,0.016176,0.005392
"192",8,1,"Use of heat pump","count",0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
"193",8,1,"Use of air conditioner","count",15,52,0,0,0,0,0,0.00897,0,0.1197,0.010815,0,0,0.139485,0.046495
"194",8,2,"shower - short","count",5,87,0,0,0.00116,0.000995,0,0,0,0,0,0,0,0.002155,0.0010775
"195",8,2,"shower - long (> 3 min)","count",15,82,0,0,0.00531,0.00468,0,0,0,0,0,0,0,0.00999,0.004995
"196",8,2,"bath","count",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"197",8,2,"wash-up","count",49,32,0,0,0.003283,0.002695,0,0,0,0,0,0,0,0.005978,0.002989
"198",8,3,"use of dishwasher","count",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"199",8,3,"use of clothes washer","count",5,29,0,0,0.002165,0.00191,0,0.00077,0,0.00051,0.000465,0,0,0.00582,0.001164
"200",8,3,"use of clothes dryer","count",4,12,0,0,0,0,0,0.000748,0,0.000528,0.000488,0,0,0.001764,0.000588
"201",8,3,"use of cooking range","count",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202",8,3,"use of  oven","count",10,36,0,0,0,0,0,0.00255,0,0.00162,0.0015,0,0,0.00567,0.00189
"203",8,3,"use of self-clean feature of electric oven","count",1,11,0,0,0,0,0,0,0,0.000199,0.000178,0,0,0.000377,0.0001885
"204",8,3,"Small kitchen appliance in the home","count",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205",8,4,"TV/computer use","count",60,28,0,0,0,0,0,0,0,0.00012,0.00012,0,0,0.00024,0.00012
"206",8,5,"air travel - large plane","miles",2895,46,0,0,0,0,0,0,0,0,0,0.518205,0,0.518205,0.518205
"207",8,5,"air travel - small  plane (<50 seats)","miles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208",8,5,"car trips- self only","miles",359,61,0,0,0,0,0.197809,0,0.271763,0,0,0,0,0.469572,0.234786
"209",8,5,"car trips - driver and self","miles",38,39,0,0,0,0,0.021052,0,0.029678,0,0,0,0,0.05073,0.025365
"210",8,5,"car trips - 2+ people with multiple end points","miles",10,0,0,0,0,0,0.00354,0,0.0021,0,0,0,0,0.00564,0.00282
"211",8,5,"trips using public ground transportation","bags",14,44,0,0,0,0,0.003864,0,0,0,0,0,0,0.003864,0.003864
"212",8,6,"bags of garbage disposed","bags",20,49,0,0,0,0,0,0,0,0,0,0,0.838,0.838,0.838
"213",8,6,"bags of recycling deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"214",8,6,"bags of compost deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215",8,6,"hazardous or electric items disposed","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"216",8,6,"large items disposed","items",2,17,0,0,0,0,0,0,0,0,0,0,0.0422,0.0422,0.0422
"217",9,1,"Household heating => 70F","hours",4,61,0,0,0,0,0,0.001744,0,0.0026,0.002168,0,0,0.006512,0.00217066666666667
"218",9,1,"Household heating < 70F","hours",6,89,0,0,0,0,0,0.005232,0,0.005538,0.005406,0,0,0.016176,0.005392
"219",9,1,"Use of heat pump","hours",0,55,0,0,0,0,0,0,0,0,0,0,0,0,0
"220",9,1,"Use of air conditioner","hours",20,50,0,0,0,0,0,0.01196,0,0.1596,0.01442,0,0,0.18598,0.0619933333333333
"221",9,2,"shower - short","count",2,95,2.4e-05,0,0,0.000398,0,0,0,0,0,0,0,0.000422,0.000211
"222",9,2,"shower - long (> 3 min)","count",35,87,0.000595,0,0,0.01092,0,0,0,0,0,0,0,0.011515,0.0057575
"223",9,2,"bath","count",0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
"224",9,2,"wash-up","count",52,32,0.000208,0,0,0.00286,0,0,0,0,0,0,0,0.003068,0.001534
"225",9,3,"use of dishwasher","count",0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
"226",9,3,"use of clothes washer","count",7,34,0.000231,0,0,0.002674,0,0.001078,0,0.000714,0.000651,0,0,0.005348,0.0010696
"227",9,3,"use of clothes dryer","count",2,12,0,0,0,0,0,0.000374,0,0.000264,0.000244,0,0,0.000882,0.000294
"228",9,3,"use of cooking range","count",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"229",9,3,"use of  oven","count",8,39,0,0,0,0,0,0.00204,0,0.001296,0.0012,0,0,0.004536,0.001512
"230",9,3,"use of self-clean feature of electric oven","count",4,19,0,0,0,0,0,0,0,0.000796,0.000712,0,0,0.001508,0.000754
"231",9,3,"Small kitchen appliance in the home","count",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"232",9,4,"TV/computer use","count",64,27,0,0,0,0,0,0,0,0.000128,0.000128,0,0,0.000256,0.000128
